run_id,category,Faithfulness,Context Precision,Context Recall,Factual Correctness
fixed_512__dense__n70,cross_reg,0.879,0.162,0.431,0.365
fixed_512__dense__n70,generated,0.9,0.611,0.786,0.427
fixed_512__dense__n70,lexical,1.0,0.928,0.756,0.47
fixed_512__dense__n70,lookup,0.915,0.484,0.599,0.475
fixed_512__dense__n70,multi_hop,0.987,0.519,0.724,0.453
fixed_512__dense__n70,negative,1.0,0.0,0.25,0.395
fixed_512__hybrid__n70,cross_reg,0.718,0.196,0.46,0.23
fixed_512__hybrid__n70,generated,0.898,0.667,0.914,0.512
fixed_512__hybrid__n70,lexical,0.954,0.764,0.889,0.46
fixed_512__hybrid__n70,lookup,0.85,0.434,0.683,0.544
fixed_512__hybrid__n70,multi_hop,0.943,0.573,0.933,0.645
fixed_512__hybrid__n70,negative,0.75,0.0,0.25,0.29
recursive_1000__dense__n70,cross_reg,1.0,0.125,0.244,0.228
recursive_1000__dense__n70,generated,0.965,0.517,0.769,0.505
recursive_1000__dense__n70,lexical,0.961,0.167,0.273,0.203
recursive_1000__dense__n70,lookup,0.963,0.477,0.6,0.585
recursive_1000__dense__n70,multi_hop,0.97,0.168,0.231,0.246
recursive_1000__dense__n70,negative,0.9,0.125,0.5,0.29
structural_article__dense__n27,cross_reg,0.93,0.271,0.722,
structural_article__dense__n27,lexical,1.0,0.696,0.544,
structural_article__dense__n27,lookup,0.96,0.562,0.789,
structural_article__dense__n27,multi_hop,0.958,0.514,0.667,
structural_article__dense__n27,negative,0.75,0.5,0.5,
structural_article__hybrid__n27,cross_reg,0.958,0.25,0.564,
structural_article__hybrid__n27,lexical,0.8,0.633,0.333,
structural_article__hybrid__n27,lookup,0.994,0.51,0.752,
structural_article__hybrid__n27,multi_hop,0.991,0.514,0.698,
structural_article__hybrid__n27,negative,0.857,0.5,0.75,
